,Community Area,Hour,Covid Diff,Total Revenue,Tip per Trip
0,2,2,-168.9120229,296.4586941,0.495006531
1,3,2,-591.8054506,545.1473344,0.545326352
2,4,2,-321.6185445,244.2702461,0.609286204
3,5,2,-408.7284636,236.6313482,0.596932263
4,6,2,-2100.9061789999996,1381.437619,0.47767785700000004
5,7,2,-1649.9773368,939.0754112,0.402289529
6,8,2,-5893.64725,2560.034402,0.396080969
7,9,2,-40.27892907999998,75.65001902,0.623939096
8,10,2,-87.54604860000002,125.8269418,0.613324973
9,11,2,-74.2974897,120.9930622,0.605638354
10,12,2,-52.231271899999996,83.4211635,0.622221302
11,13,2,-64.32744139999998,103.6264053,0.601459183
12,14,2,-149.97588909999996,226.3571508,0.556078844
13,15,2,-149.32761740000004,240.89165219999998,0.555849619
14,16,2,-269.82274300000006,278.55136489999995,0.5530928070000001
15,17,2,-67.8606926,129.5152069,0.594658955
16,18,2,-31.096653840000016,86.14415686,0.604450735
17,19,2,-131.7691117,288.52998219999995,0.486067684
18,20,2,-60.1854972,122.06296329999999,0.57925917
19,21,2,-292.6946479,269.1489578,0.557740262
20,22,2,-1115.9643256999998,656.1407903,0.49931846
21,23,2,-112.67095109999997,355.6880634,0.44798849399999996
22,24,2,-1850.269579,1094.138556,0.40986039799999996
23,25,2,-14.825736199999938,702.2203031,0.30911307
24,26,2,-1.7572447999999952,190.75575080000002,0.5064119420000001
25,27,2,-44.74093350000001,217.38531119999996,0.49178869999999997
26,28,2,-2904.9557859999995,1437.28275,0.369781106
27,29,2,-47.38382519999999,359.7783736,0.40827801399999997
28,30,2,-122.85601469999997,248.91894,0.49959480799999995
29,31,2,-336.7325187,290.7105729,0.505713185
30,32,2,-3597.428583,1277.253719,0.47898455100000004
31,33,2,-808.1160978,354.5325522,0.526040445
32,34,2,-157.56808740000002,105.5319775,0.597624742
33,35,2,-128.16262419999998,237.3473067,0.49951566399999997
34,36,2,-29.752374709999984,94.51807789,0.589409736
35,37,2,-25.34501850000001,74.9073986,0.614508663
36,38,2,-89.55616469999998,254.4231475,0.482714882
37,39,2,-116.6067607,171.2156749,0.551026343
38,40,2,-26.87200390000001,168.20548119999998,0.5232147429999999
39,41,2,-485.27374029999993,347.7908815,0.51152872
40,42,2,-81.4114022,265.430518,0.48615728
41,43,2,-20.268139999999903,518.2979486,0.38288011299999997
42,44,2,-31.79471699999999,336.583167,0.429223421
43,45,2,-24.268573649999993,99.53013015,0.5842637079999999
44,46,2,-10.271329100000031,206.1303179,0.51693315
45,47,2,-19.24665924,71.13566217,0.6103329239999999
46,48,2,-30.35912260000002,104.1800927,0.586590384
47,49,2,-36.123247900000024,304.7785629,0.454356601
48,50,2,-20.730611300000007,104.1366352,0.5839794189999999
49,51,2,-23.04024340000001,119.655403,0.57048167
50,52,2,-26.587369449999997,72.24433054,0.619321519
51,53,2,-2.4343113999999844,197.4467467,0.515625876
52,54,2,-11.909118799999987,100.2941077,0.588341676
53,55,2,-22.479066499999988,73.06937489,0.621830663
54,56,2,-794.9100732,616.8688698,0.839623226
55,57,2,-52.22538119999999,96.9875083,0.594640858
56,58,2,-85.39847099999997,158.82192980000002,0.538775027
57,59,2,-57.514261800000014,104.57155209999999,0.584985372
58,60,2,-156.39692580000002,152.5018682,0.581636815
59,61,2,-72.70956449999997,214.27461180000003,0.503365199
60,62,2,-41.66686979000001,87.27750241,0.599143236
61,63,2,-54.733988099999976,135.82518100000001,0.5567531920000001
62,64,2,-45.07399703,93.04799267,0.615403179
63,65,2,-59.647898199999986,127.45915690000001,0.5746922179999999
64,66,2,-41.52879079999997,278.2035698,0.47585610100000003
65,67,2,-23.83582400000003,227.7384641,0.484803382
66,68,2,-16.336364800000013,258.1828371,0.465675956
67,69,2,-16.33441730000004,328.71484889999994,0.433685004
68,70,2,-59.7626037,155.8768534,0.553254634
69,71,2,-4.519710599999996,369.1315292,0.421308226
70,72,2,-45.127678180000004,98.10412602,0.59930884
71,73,2,-31.865990399999987,177.9651887,0.529562579
72,74,2,-32.55193949000001,76.86105371,0.6188520670000001
73,75,2,-27.68216860000001,139.2147362,0.566323001
74,76,2,-3352.063379,1761.17455,1.241114058
75,77,2,-401.5156819999999,413.75770730000005,0.5861328960000001
76,2,2,-93.87107959999994,232.4022171,0.524716494
77,3,2,-369.7660479000001,427.3561602,0.578056476
78,4,2,-205.25668479999996,191.4902409,0.645855156
79,5,2,-266.9624845999999,185.50189640000002,0.63275974
80,6,2,-1358.53798,1082.9473779999998,0.506347764
81,7,2,-1079.0280423,736.1673377000001,0.42643467799999996
82,8,2,-3920.0283039999995,2006.882182,0.419853485
83,9,2,-21.97410127,59.30415432,0.661387505
84,10,2,-50.9574289,98.6392399,0.65013633
85,11,2,-42.06917063,94.84982717,0.641988365
86,12,2,-29.710301849999993,65.39617065,0.65956661
87,13,2,-36.51750123000001,81.23562177,0.637558363
88,14,2,-86.40095310000001,177.44766719999998,0.589454326
89,15,2,-84.74264500000001,188.8416672,0.589211343
90,16,2,-166.1031471,218.36416359999998,0.586289069
91,17,2,-36.85047,101.5305735,0.6303499889999999
92,18,2,-14.667206919999998,67.53080089,0.640729466
93,19,2,-68.48671970000001,226.1866793,0.515241142
94,20,2,-32.08658229000001,95.68855241,0.614025919
95,21,2,-182.91747509999996,210.9933551,0.591215461
96,22,2,-728.0630642000001,514.3670178,0.529287221
